path,module,name,line,length
sentinel-control/services/sentinel-core/tests/perf/hot_cold/test_phase_b_benchmarks.py,tests.perf.hot_cold.test_phase_b_benchmarks,test_artifact_get_p95_full_scale_10k,360,96
sentinel-control/services/sentinel-core/tests/perf/workspace/test_workspace_benchmark.py,tests.perf.workspace.test_workspace_benchmark,test_workspace_snapshot_warm_update_p95_under_50ms,265,96
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,_run_browser_login_demo,1357,95
sentinel-control/services/sentinel-core/sentinel/agent/final_gate.py,sentinel.agent.final_gate,_browser_interaction_dry_run_contract,1443,94
sentinel-control/services/sentinel-core/sentinel/memory/service.py,sentinel.memory.service,retrieve,247,94
sentinel-control/services/sentinel-core/sentinel/organs/browser/final_gate.py,sentinel.organs.browser.final_gate,_check_browser_interaction_dry_run_contract,586,94
sentinel-control/services/sentinel-core/tests/test_agent_browser_v3_fixture_bench.py,tests.test_agent_browser_v3_fixture_bench,test_browser_v3_fixture_evalbench_multi_run_metrics,239,94
sentinel-control/services/sentinel-core/tests/test_memory_not_authority_bias.py,tests.test_memory_not_authority_bias,test_repair_loop_memory_bias_does_not_expand_or_force_reentry,409,94
sentinel-control/services/sentinel-core/sentinel/agent/resourcefulness.py,sentinel.agent.resourcefulness,route,173,93
sentinel-control/services/sentinel-core/sentinel/operator/decision_context.py,sentinel.operator.decision_context,_progress_guidance,346,93
sentinel-control/services/sentinel-core/sentinel/operator/read_only_model_clients.py,sentinel.operator.read_only_model_clients,_extract_decision_envelope,640,93
sentinel-control/services/sentinel-core/sentinel/agent/llm/memory_bridge.py,sentinel.agent.llm.memory_bridge,_signals_from_bridge_input,501,93
sentinel-control/services/sentinel-core/sentinel/agent/organs/browser_login_credential_session_broker_l6.py,sentinel.agent.organs.browser_login_credential_session_broker_l6,execute,256,93
sentinel-control/services/sentinel-core/sentinel/organs/browser/interaction_dry_run.py,sentinel.organs.browser.interaction_dry_run,create_plan,54,92
sentinel-control/services/sentinel-core/sentinel/agent/llm/tool_intent_compiler.py,sentinel.agent.llm.tool_intent_compiler,_sensitive_browser_v3_payload_errors,382,92
sentinel-control/services/sentinel-core/sentinel/agent/model_execution/coordinator.py,sentinel.agent.model_execution.coordinator,execute,119,92
sentinel-control/services/sentinel-core/tests/test_agent_browser_v3_live_adapter_harness.py,tests.test_agent_browser_v3_live_adapter_harness,test_p4c_h3_live_evalbench_runs_ten_iterations,350,92
