from_cluster,to_cluster,edge_count
sentinel.agent.action_engine,sentinel.agent.event_bus,1
sentinel.agent.action_engine,sentinel.agent.perception,1
sentinel.agent.action_engine,sentinel.agent.tool_call_protocol,1
sentinel.agent.action_engine,sentinel.mission.models,1
sentinel.agent.action_engine,sentinel.shared.models,1
sentinel.agent.adaptive_debate,sentinel.agent.belief_state,1
sentinel.agent.adaptive_debate,sentinel.agent.event_bus,1
sentinel.agent.adaptive_debate,sentinel.agent.events,1
sentinel.agent.adaptive_debate,sentinel.agent.mission_entropy,1
sentinel.agent.adaptive_debate,sentinel.shared.models,1
sentinel.agent.agent_count,sentinel.agent.event_bus,1
sentinel.agent.agent_count,sentinel.agent.events,1
sentinel.agent.agent_count,sentinel.agent.mission_entropy,1
sentinel.agent.agent_count,sentinel.mission.models,1
sentinel.agent.agent_count,sentinel.shared.models,1
sentinel.agent.agent_society,sentinel.agent.agent_count,1
sentinel.agent.agent_society,sentinel.agent.event_bus,1
sentinel.agent.agent_society,sentinel.agent.events,1
sentinel.agent.agent_society,sentinel.agent.mission_entropy,1
sentinel.agent.agent_society,sentinel.mission.models,1
sentinel.agent.agent_society,sentinel.shared.models,1
sentinel.agent.artifact_capture,sentinel.agent.event_bus,1
sentinel.agent.artifact_capture,sentinel.agent.events,1
sentinel.agent.artifact_capture,sentinel.agent.phases,1
sentinel.agent.artifact_capture,sentinel.shared.models,1
sentinel.agent.audit,sentinel.agent.event_bus,1
sentinel.agent.audit,sentinel.agent.events,1
sentinel.agent.audit,sentinel.agent.evidence,1
sentinel.agent.audit,sentinel.agent.models,1
sentinel.agent.audit,sentinel.agent.phases,1
sentinel.agent.audit,sentinel.shared.models,1
sentinel.agent.belief_state,sentinel.agent.event_bus,1
sentinel.agent.belief_state,sentinel.agent.events,1
sentinel.agent.belief_state,sentinel.shared.models,1
sentinel.agent.brainbench,sentinel.agent.event_bus,1
sentinel.agent.brainbench,sentinel.agent.events,1
sentinel.agent.brainbench,sentinel.shared.models,1
sentinel.agent.capability_selector,sentinel.agent.models,1
sentinel.agent.capability_selector,sentinel.shared.enums,1
sentinel.agent.capability_selector,sentinel.capabilities.registry,1
sentinel.agent.cognitive_cycle,sentinel.agent.models,1
sentinel.agent.cognitive_cycle,sentinel.agent.state,1
sentinel.agent.cognitive_cycle,sentinel.agent.uncertainty,1
sentinel.agent.cognitive_cycle,sentinel.perf.measure,1
sentinel.agent.context_builder,sentinel.agent.capability_selector,1
sentinel.agent.context_builder,sentinel.agent.models,1
sentinel.agent.context_builder,sentinel.mission.models,1
